設立後経過年,資本金,年間売上高,社員数,売上高成長率,非上場性,複融資
5.524765979061008e-07,2499.2575878257785,7.748542742765131,20.655613132060445,0.09497806004051727,0,[0]
71.80355009491343,2489.411135957722,2.440147397559548,22.532114986391555,9.956571314433448e-07,1,[1]
3.095161534594871e-08,2505.120126889043,2.1193566803062107,19.512754683219015,217.5706804636025,1,[1]
0.00907564111200333,2492.815325580398,3.8698077207470205,20.521426528067508,34.39533918433222,1,[0]
109227.37892457159,2489.9654429997413,3.9272301631236743,17.061087278643367,0.0038556943152062905,1,[1]
252434.6536156843,2494.130738911306,5.947215742370658,18.81356542245115,9.05904071741529e-11,0,[0]
3.9421864281977394e-06,2491.1075979232737,2.1478131978626975,19.313256560877534,0.15554786307393192,0,[0]
0.0010544459227009985,2494.2761867808968,1.1002537874221154,18.705404505005262,0.1722611767186914,0,[1]
7.159859004839705,2503.9254291004186,4.586382561840979,18.101713018945528,2.5641198077308733e-07,1,[0]
92.44353343111617,2498.7417274190143,2.794768389683144,20.021106298179888,0.0016590487669275614,1,[0]
1.974864443839687e-05,2503.240992730892,6.721217560591397,16.411576551312642,2.5378746260690972e-11,1,[0]
1.846354881360103e-16,2504.921314523842,3.5159796195620316,17.778372801289407,0.04654840565985879,0,[1]
5.144542421481989e-06,2499.9822595800647,1.3591012107377352,17.013977426073225,23.04046474958965,0,[0]
18.39929010860537,2497.537268493577,2.917566754451926,21.551363053409887,42.79415158846997,0,[0]
143.84436796899763,2506.562691349481,3.1612946234950092,18.78206074062777,5.244180063393429e-23,0,[0]
0.012714898490343374,2495.1719854966514,2.061968094897797,16.14680514755908,0.00015347647092221444,0,[0]
1.2692729699591825e-05,2493.2021996852573,3.3720338638065286,21.291432777461413,0.010358387233545962,0,[0]
206.7835356512448,2500.241657022239,1.683403770777765,19.889547528859175,0.003939473365051088,0,[0]
2.892740637243619e-31,2499.8649358481093,2.512621554033276,21.191582214421743,4.440708777507343e-20,1,[0]
19.940546559819705,2502.192807220715,2.552131974350189,22.08547883884537,2.3812510897621348e-07,1,[0]
360.378650895763,2495.8083944130244,1.8722900547992412,20.388345861576084,7.958667032977529e-08,0,[1]
1.431355452785213e-07,2503.635244629751,2.180739827183929,13.816691607708211,0.7927121593210195,0,[1]
0.0051597041446652305,2505.4266032386745,1.994368010006014,18.89412737071402,12.267148762114477,0,[0]
50838.41386693273,2500.9022424557393,3.3097238275813634,20.01911629589227,28.03786532423836,0,[0]
62.299203976016614,2496.870272055238,1.8280000191378813,17.76700499500121,6.489774367601042,1,[1]
